ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month
53,200000,1,1,2,57,0,1,2,2,2,1,8748,81080,129692,121381,98257,49716,1625,30790,21847,31736,16719,13840,1
54,120000,2,2,1,40,-1,2,2,0,-1,-2,10771,67903,82146,4110,695,16592,3342,12103,5249,1418,93,4861,1
55,200000,2,3,2,66,2,0,-1,0,-2,-2,61905,28248,32685,48283,26472,7094,9568,7030,10796,17672,13234,2822,0
56,200000,1,2,1,58,1,0,2,2,0,0,90540,53321,81487,194406,65327,1409,17994,18864,9682,32718,21060,443,0
57,80000,1,2,2,37,0,2,1,2,1,1,26328,41919,48431,14891,34109,28851,6805,10373,12068,1112,10481,2891,0
58,120000,2,3,3,70,0,0,1,2,0,-1,41133,21953,14935,29525,22946,25228,14038,6113,5512,9523,6340,9237,0
59,20000,2,2,2,65,3,0,0,1,-1,1,15157,3048,4806,3037,2867,15117,1629,920,1307,856,1153,3782,1
60,20000,1,2,3,51,-2,0,-1,-2,0,-1,0,2197,5443,1263,8200,12358,0,295,2174,450,2930,4069,0
61,120000,2,1,2,21,-1,0,0,1,-2,-1,13010,12136,9737,991,18917,12891,3328,3072,3570,298,6044,4056,0
62,80000,2,2,1,51,1,3,1,1,1,1,45186,61439,22938,54575,29823,11633,5601,6576,7271,13360,9082,2842,0
63,120000,1,2,1,56,1,-2,2,1,-1,0,30939,2066,64082,40792,22977,51044,7710,988,4685,12079,5265,19610,0
64,200000,1,3,1,39,-2,-1,-2,-1,-2,-2,4339,14163,4716,10321,23028,4184,1556,4259,2191,1568,1297,1776,0
65,120000,2,2,2,28,0,1,-2,0,-1,-1,52074,46870,6068,50314,52752,2237,18788,11800,1983,17010,19036,429,0
66,120000,2,2,2,49,3,0,2,-1,1,0,85421,34107,41404,15770,51725,3358,7714,12555,10708,6126,8730,865,0
67,120000,1,1,2,61,1,0,-1,1,-2,1,47107,39430,10871,70163,14270,42026,12004,15936,3583,19177,2324,13757,1
68,50000,2,3,2,37,0,0,0,-1,-2,0,29939,13937,17691,10926,16246,31154,9185,4199,3836,2948,7072,8769,1
69,20000,2,1,2,44,-1,1,0,0,0,-2,10666,1466,2437,3647,2880,5630,2038,259,500,1002,664,2474,0
70,80000,2,2,1,21,0,-1,1,-2,-1,-2,33890,0,36884,12593,6710,7745,10083,0,15815,5449,2705,1893,1
71,50000,2,2,1,56,-1,0,-1,0,0,-1,3334,25862,20744,22080,13047,4041,1118,7849,4792,7364,3080,1858,0
72,80000,2,1,3,65,-2,-1,-1,0,-1,-2,20395,19452,25608,18306,329,4229,6929,6630,8130,5805,108,1089,0
73,300000,2,2,1,60,0,4,0,1,-1,0,84530,220743,181576,61236,10014,75357,15003,16612,78137,18180,2073,20450,1
74,50000,1,1,1,42,1,1,2,0,1,0,19182,14915,23316,31086,3127,1350,4582,1195,3923,10129,590,229,0
75,20000,2,2,1,23,0,3,0,-1,0,-1,0,15227,7632,0,14849,5504,0,689,3047,0,3703,1649,0
76,50000,1,4,3,46,-1,1,0,-2,2,-2,10172,20985,17118,2711,41086,0,3468,3150,5605,940,1559,0,0
77,50000,2,2,1,68,0,1,2,2,1,3,20916,6772,39990,33506,32091,42529,7097,1540,13032,9959,11993,7927,1
78,120000,1,4,2,25,2,0,0,1,0,0,85843,53811,44416,52450,44514,72525,16523,13698,18823,13037,7561,22829,1
79,120000,2,1,1,31,1,1,1,0,1,0,56777,22471,59192,46489,34815,68788,19721,2515,14606,8896,6224,15814,0
80,200000,2,2,1,63,-1,-2,-2,-1,1,-2,39782,153,17974,11994,10027,7397,10312,50,3085,3016,3441,2635,0
81,120000,1,3,2,49,0,0,-1,0,-2,-2,30630,96377,8638,510,5039,340,6792,39834,1332,109,1919,69,0
82,80000,2,3,2,29,0,0,0,-2,0,-2,18267,18122,50436,12384,17234,5075,4707,5590,14767,3169,6094,1953,0
83,200000,2,2,2,22,3,1,-1,0,0,0,64894,39084,4244,37998,9965,33743,23107,15834,1106,7867,3709,11050,1
84,50000,2,2,1,41,1,1,1,2,0,1,23120,24637,19310,19203,14461,24679,5138,6045,4251,6863,5024,9001,1
85,20000,2,3,3,51,2,0,-1,0,1,1,10862,0,5585,14390,9953,12174,4143,0,2153,3860,2818,2934,0
86,20000,2,3,2,63,1,0,-1,0,-1,0,13474,1799,3373,10353,0,3112,3259,544,616,4236,0,771,0
87,200000,1,2,3,66,2,0,1,-1,-1,-2,93167,83768,68547,8591,84641,34632,13548,35656,14806,3446,22680,11189,0
88,80000,2,1,1,44,-1,-2,-1,-1,2,-1,30276,31210,28942,28937,15907,11325,14267,14850,4907,6419,5820,2448,0
89,50000,2,1,1,42,3,3,1,1,1,0,27585,38515,14920,27862,4079,14507,5234,9076,1485,5856,1209,4023,0
90,80000,1,2,1,68,0,2,-1,0,0,-1,44059,45713,702,18630,15751,5842,11300,11163,271,3895,5202,2669,0
91,20000,2,2,2,60,0,0,1,0,2,0,6601,7620,17754,12670,12850,14506,2302,1610,4859,4160,2716,6006,1
92,120000,2,1,2,31,0,0,0,0,0,1,50730,26329,31101,16674,44769,2483,19266,4546,4397,4811,16791,551,0
93,80000,1,2,2,55,1,0,0,0,-1,-2,32784,0,15057,22912,23497,7647,6507,0,4905,3620,9819,3195,0
94,80000,2,2,1,57,-2,-2,-1,-2,-1,-2,786,1049,28613,14437,0,6758,331,495,2631,4718,0,2234,0
95,50000,1,2,1,32,0,-2,-2,-2,-2,-2,6086,11233,0,5004,5907,215,1593,5536,0,1780,2842,104,0
96,120000,2,2,1,70,1,-1,0,-1,0,-1,19963,6520,0,0,9089,12660,3324,1214,0,0,3578,5750,0
97,80000,2,2,2,36,0,0,-2,1,1,1,26452,15901,268,39954,43268,6451,5909,6169,65,6375,2628,2152,0
98,20000,1,1,1,49,-1,-1,-1,-1,-2,-1,0,0,2198,0,7120,0,0,0,748,0,3034,0,0
99,20000,2,3,1,46,2,2,1,-1,0,1,10684,10443,3452,328,1949,9996,2318,3236,995,105,768,1844,0
100,500000,2,2,1,56,-2,-1,0,-2,-1,-2,34044,124137,79809,16048,18825,14113,12162,34602,18411,5788,4678,3621,0
101,300000,2,1,1,66,0,-2,-2,0,-1,-2,16661,47616,15290,4505,103952,11513,6187,19793,4749,910,45703,2850,0
102,120000,2,2,3,41,-1,-1,0,0,0,0,34420,79158,19177,21869,10923,51130,13233,15170,3809,5939,2383,17260,0
103,50000,2,2,1,40,2,1,-1,0,0,1,26968,26195,12,24379,4563,31672,4791,3479,4,6007,1096,6946,0
104,500000,1,2,2,59,-2,-2,-2,-2,-2,-2,95928,142447,10873,15180,89805,11152,32093,78360,3150,6253,34185,2796,0
105,200000,1,2,2,69,0,0,2,2,0,-1,11534,55514,80035,87754,9465,10798,2630,13527,12353,16380,2679,5298,1
106,200000,1,2,2,67,0,1,1,0,-1,1,22676,146751,90783,18222,16121,7765,6548,22594,14976,5893,5245,2363,0
107,80000,2,2,2,59,1,-1,-1,0,-2,-1,30144,3262,7827,31766,6983,10551,6852,935,4111,10987,2210,3458,0
108,50000,1,1,2,56,-2,1,-1,-2,-1,-2,5894,29722,0,2334,5927,7722,2086,11723,0,936,1238,3015,1
109,20000,2,2,2,60,1,2,1,2,0,1,15796,9818,1632,15589,2223,6130,5717,2978,455,4365,618,1712,0
110,300000,2,1,1,68,2,2,0,-1,0,-1,218729,195049,107251,140500,141331,61488,72422,30633,32024,41542,49974,16870,0
111,80000,1,2,2,21,0,-1,-1,-2,-1,-1,38494,15772,2792,689,10339,15451,8855,4889,1198,174,2212,3127,0
112,50000,1,2,1,51,0,-1,-2,-1,0,0,4053,16609,4794,11817,6854,16641,1386,5900,1397,2584,1903,5070,0
113,50000,1,2,1,22,-1,-1,-1,-1,-1,0,30672,14144,22677,4651,10287,17614,11264,5229,5282,1645,3172,3218,0
114,120000,2,1,1,50,-1,2,0,0,0,-2,15314,57930,49782,0,34371,6722,4150,14568,18587,0,7813,2056,0
115,50000,1,2,2,41,1,2,1,0,1,-1,29043,35300,26696,24717,22918,2785,10396,4768,10653,5634,6323,1086,1
116,300000,1,2,1,36,-2,-2,-2,-2,-2,-2,4387,4708,5714,4004,54247,11117,1016,1565,1709,1842,20883,4492,0
117,200000,1,2,1,66,1,0,-1,0,-1,-1,94099,9032,35601,49540,58015,6674,31151,1739,12208,8383,14029,2815,0
118,200000,2,2,1,57,0,0,0,0,2,-1,83601,3485,30826,150015,90997,21549,22626,1246,10138,43134,19419,9573,0
119,80000,1,1,1,49,3,0,2,1,1,0,22817,47678,44744,26019,5626,6083,2037,13044,10072,3148,1687,586,1
120,120000,2,2,1,65,-2,-2,-1,-1,-1,-2,43305,17692,33315,1030,5409,18497,14519,6689,11737,264,2262,8151,0
121,120000,2,2,2,25,1,-1,-1,-1,0,0,24068,25807,4280,4022,46211,77704,9512,6787,1306,909,5654,23585,0
122,120000,2,2,1,53,0,-1,0,-1,-1,-2,22329,11532,60246,38256,37962,39191,10737,4237,4450,15291,14969,17326,0
123,20000,1,1,3,28,-1,-1,-2,-2,-2,-1,0,0,3189,0,41,3935,0,0,1094,0,18,885,0
124,80000,2,3,2,32,-1,2,-1,0,-1,-1,3332,26447,18347,4738,7823,11137,1039,2573,6938,662,2308,2363,0
125,20000,1,4,2,30,-1,1,-1,-1,-1,0,1531,8942,0,2868,3566,7295,459,2770,0,702,1255,2100,1
126,80000,2,3,2,48,1,-1,0,1,-2,0,8722,0,21114,24848,780,14802,2123,0,5171,10643,226,3009,0
127,50000,2,2,1,53,-2,-2,-2,-2,-2,-2,8562,1115,0,8571,4921,2253,4109,331,0,4209,1816,723,0
128,20000,1,2,2,59,-2,-2,0,-1,-2,0,721,1078,7185,4787,0,1447,229,458,2024,1719,0,308,1
129,20000,1,1,1,43,1,1,0,-2,0,-2,5319,4648,2329,0,5067,4577,970,903,728,0,2136,893,0
130,120000,2,3,1,68,1,2,-2,-1,-2,1,63793,79523,18946,0,0,5766,13360,17575,5725,0,0,2025,0
131,50000,2,2,1,40,3,2,3,2,1,2,46241,53101,15387,27512,12115,33413,7399,10842,2212,4758,3085,4039,0
132,300000,1,1,2,28,0,0,-1,-1,-1,-1,6085,133945,621,10553,25791,41760,2078,22305,209,2750,9619,13058,0
133,120000,2,2,2,22,1,-1,0,-2,1,-2,81141,0,24970,0,45414,1414,20695,0,7102,0,4835,467,1
134,50000,1,3,1,27,-1,0,1,0,0,-2,3682,23615,20888,5936,8794,16668,1355,9346,4595,1518,2524,4390,0
135,120000,2,3,2,43,0,2,0,-1,0,0,1837,45161,39216,33469,28309,15442,669,11236,9452,10987,9997,2133,0
136,20000,2,2,1,42,0,-1,-2,-2,-1,-1,4642,186,4808,1931,0,15393,1195,54,795,1072,0,4246,0
137,500000,1,2,1,64,1,0,1,-2,-2,0,169658,299883,153365,36747,12157,45661,40617,86809,22508,12635,3725,8358,0
138,80000,1,3,1,27,-1,1,2,0,0,-2,24399,21128,28621,44975,14479,3003,8644,7477,5712,12304,2765,1060,0
139,200000,1,3,2,34,1,-1,0,1,-1,0,73688,4300,98485,95784,2807,23578,14420,1184,26561,32438,826,4614,0
140,20000,2,3,2,71,-1,-1,-2,-1,-1,-2,5863,1734,1911,10887,11189,0,1867,490,724,4114,2388,0,0
141,80000,1,2,1,22,0,1,2,2,-1,2,20221,20688,43575,45633,28390,49859,7374,4742,13561,11159,12840,9732,0
142,80000,1,2,1,42,0,0,-2,-2,-2,-2,5702,23153,1584,3243,2327,11242,1652,2487,491,680,423,2775,0
143,300000,2,3,2,31,0,1,0,-2,1,-1,112451,116522,34268,2422,44194,5906,42959,35305,6200,1255,8325,1535,0
144,120000,1,1,2,48,0,-1,-1,0,0,-2,17784,6809,53102,27792,60740,286,3683,2265,23022,9449,19836,89,0
145,80000,1,2,1,70,-1,1,-1,0,-2,-1,16021,0,24790,157,0,19430,5479,0,8686,53,0,4153,0
146,50000,2,1,2,32,0,0,-1,-1,-1,0,23870,3110,15123,0,8620,7264,7787,761,4081,0,3811,1986,0
147,50000,2,2,2,39,0,-1,-2,-2,-2,-2,13230,10105,16523,6999,20584,3195,4039,2037,3451,3074,7071,1107,0
148,80000,2,3,2,43,-1,1,0,-1,2,1,15811,20041,22813,26388,35668,27938,4616,5179,10729,7909,9743,6940,1
149,80000,1,1,1,61,0,3,2,0,1,-1,20376,44877,27022,10969,37458,7939,3327,3789,5156,4820,5686,2864,1
150,20000,2,2,2,71,1,2,1,2,1,0,9758,11427,0,1474,11098,0,3263,2951,0,240,3466,0,0
151,200000,2,1,2,25,1,0,0,-1,-2,1,19433,92594,68901,3685,38161,57438,2567,31027,14107,563,15576,10234,0
152,300000,1,3,1,45,-1,-2,0,0,-2,-2,42945,22563,64145,8266,46232,71876,8938,11817,12367,2126,19028,18688,0
153,20000,2,3,2,59,-1,0,-1,0,0,-1,228,2312,640,5245,11681,515,82,913,265,922,3539,100,0
154,120000,1,2,2,21,-1,0,-1,0,-2,-1,6772,27392,56589,25727,2055,20759,1933,8342,15720,7887,726,6502,0
155,20000,1,2,2,62,0,-2,-2,-1,-2,-2,1499,7333,3608,245,3397,0,436,2436,1097,62,1119,0,0
156,120000,2,1,2,33,1,0,0,1,-2,0,11394,20543,17485,59388,2881,46165,1622,7259,4955,15508,887,10208,0
157,50000,1,3,1,47,-1,-2,-2,-2,-2,-2,26311,0,18215,5862,5702,17479,8901,0,6427,1908,2485,8619,0
158,120000,2,2,2,70,1,0,0,-2,0,-2,44959,65536,12557,2043,68444,34130,14022,16065,4578,759,21803,10329,0
159,200000,2,1,1,53,-2,-2,-2,-2,-2,-2,3265,705,2095,486,42792,1334,734,132,712,139,9985,564,0
160,200000,1,4,2,71,-1,-2,-2,-2,-1,-2,13416,2098,9801,39148,87812,0,4496,1125,3901,11908,21110,0,0
161,20000,1,1,1,51,3,0,-2,2,2,-1,6296,3637,2695,7344,7196,9144,1556,1339,797,589,2245,2778,0
162,300000,1,2,1,31,0,-1,-1,0,-1,-2,98717,15189,89588,90186,19044,106950,17106,5609,21440,27664,7252,47851,0
163,50000,2,1,1,56,0,-2,0,-2,-2,-2,6184,1342,7794,2655,3438,2297,1803,479,1600,1099,1441,824,0
164,20000,2,2,2,52,-1,0,0,-2,1,-1,10427,2648,3593,5375,4784,3522,3327,1151,788,2174,858,1010,1
165,120000,2,1,2,36,0,-1,0,-1,0,-2,75746,29403,12059,31690,52171,26782,23370,11433,4978,8227,22083,7483,0
166,80000,1,1,2,24,1,-2,-2,0,-2,-2,32386,3767,2261,21462,12092,207,7228,909,691,6603,4137,85,0
167,200000,2,2,1,54,-2,1,-2,-2,-2,-1,2296,104733,0,1844,7802,92294,536,23797,0,551,2879,21148,0
168,200000,1,4,1,50,0,1,-2,1,1,-1,59811,106887,31027,56367,71230,15474,14846,32939,12706,11535,17851,5423,0
169,50000,1,1,2,60,1,0,0,-2,1,-1,7395,464,4285,5234,28004,13854,1483,175,1441,969,4654,4622,0
170,500000,1,2,1,27,-1,0,-2,-2,-1,-1,158553,35815,67208,11384,102152,213004,49083,9283,17629,4210,35668,50504,0
171,50000,1,2,2,48,-2,-1,1,0,0,-1,4312,3387,17794,930,11323,10575,1924,1489,4046,266,2653,3463,0
172,80000,1,3,3,62,-2,0,-2,-2,-1,2,28,88,14124,2640,32914,31324,6,15,2122,1000,7867,2783,0
173,50000,2,2,2,66,2,1,1,1,0,1,18983,16181,21844,26451,27004,29198,5445,3672,6253,11327,11274,5880,0
174,300000,1,2,1,68,0,1,0,-1,-1,0,108185,95929,100822,25696,0,158805,45595,22091,33652,5625,0,53517,0
175,50000,1,3,2,31,1,0,-1,1,-2,0,4448,33093,530,10942,9094,14293,1697,11867,194,3803,2147,5456,0
176,20000,1,2,2,29,0,-1,-1,1,2,1,2415,4663,1859,10349,12722,8732,1022,1967,884,2942,1207,1758,0
177,80000,2,2,2,50,0,1,-1,-2,1,-2,12981,19509,0,4379,37102,0,3834,6827,0,1326,13381,0,0
178,500000,2,3,2,44,-1,-2,-2,-2,0,-2,159201,104610,82374,9812,9367,112818,51067,25244,29421,4135,1951,57130,1
179,300000,1,2,1,32,0,-1,-1,-2,-1,1,165767,32077,154952,8612,32955,16314,22435,10553,50997,3037,13171,5791,0
180,200000,2,2,2,26,1,2,-2,-1,1,-1,85047,107774,12174,49481,81015,14596,19357,9693,3682,16925,21594,5230,1
181,300000,2,2,1,28,1,2,3,3,3,2,7039,38537,226355,184687,34395,199165,2362,8308,77391,20741,7687,50029,1
182,300000,1,3,2,38,1,-1,1,3,-1,1,52306,13231,70620,226365,42843,107987,6868,5965,27414,34222,14034,23012,0
183,80000,1,3,2,58,0,1,0,1,0,2,68501,29024,31449,38262,34350,46643,14467,11886,7412,5702,5964,14489,1
184,50000,2,2,2,24,1,1,-2,0,0,-1,16761,10504,8741,12016,30784,2115,4253,3003,2251,4097,8576,617,0
185,200000,1,2,1,26,-1,-2,-2,-2,1,-2,4855,55296,26550,6000,44722,31849,886,20782,9439,3022,11305,12504,0
186,120000,1,2,2,34,-2,-2,-1,-2,-2,-2,58473,9231,21707,37615,0,22592,28995,3127,6760,11503,0,8964,0
187,80000,2,1,1,65,0,-1,-1,-2,0,-2,4035,20738,14019,4380,10825,2379,1318,6550,4493,1661,2350,780,0
188,20000,1,1,2,71,2,2,0,2,2,1,11530,9676,6851,7153,8026,15735,2737,3182,2029,1177,2315,4375,0
189,200000,2,1,2,43,0,2,1,1,2,-1,12410,96136,51204,125666,116883,72710,4278,13772,5475,13630,29384,22244,1
190,50000,2,1,2,23,2,0,-1,0,0,1,37889,21423,15273,14324,28239,16317,6929,5589,4524,3667,9693,2077,0
191,300000,2,2,1,21,1,0,-1,0,-2,-1,34522,175447,46910,1679,11706,80196,9231,49767,15299,465,3620,21470,0
192,50000,2,1,2,64,1,3,0,2,0,2,11789,12102,13486,8075,27410,15930,1966,1457,2676,2362,5893,972,0
193,20000,2,1,2,43,0,-1,0,0,0,-1,10666,0,10059,1692,12455,2303,1009,0,3810,575,4054,1106,0
194,200000,1,2,2,24,-2,-1,-2,-1,-1,-2,7023,29026,29126,6197,30523,2970,2439,12794,8833,2089,14494,637,0
195,20000,2,1,2,63,2,0,0,0,-2,0,11732,10231,9637,8700,5455,647,3948,3397,2497,2784,2293,144,0
196,50000,1,1,2,47,-2,1,1,1,2,1,9186,23840,19886,28321,18945,17074,4445,4537,7605,3003,3907,3038,0
197,120000,1,1,1,38,1,-1,-2,-2,-1,-2,45851,5912,32868,17395,55804,1533,10541,1514,7169,10219,24485,654,0
198,300000,2,1,1,44,-2,-1,-2,-2,-2,-2,11074,22280,4179,5497,17415,7375,3630,4774,1430,1145,7121,2057,0
199,50000,2,2,2,32,0,-1,1,1,0,-2,6450,8056,21367,32470,21958,3722,1003,2472,3501,11854,4760,1605,0
200,50000,2,3,2,68,0,1,1,3,0,1,9716,11486,13848,27420,15884,18086,3546,2056,3806,2499,2143,2777,0
201,200000,2,3,1,61,-2,-2,-2,-2,-2,-2,31673,16274,14775,1762,51477,16284,12157,6020,5713,622,15527,7600,0
202,500000,1,3,1,31,0,0,0,-2,0,0,196545,61393,171878,4988,194043,40083,52059,13774,48722,2266,54979,12625,0
203,80000,2,2,2,58,-2,-2,-1,-2,-1,-2,4604,11467,2973,11510,351,6128,884,2726,716,5609,108,1641,0
204,20000,1,3,2,30,2,0,1,0,1,-1,14740,8942,13037,9156,0,4797,969,1119,2238,2526,0,1340,0
205,20000,1,2,2,44,-1,0,-2,-2,-2,-1,5723,1549,3083,608,3322,5112,1862,511,936,181,1154,1106,0
206,50000,1,2,2,59,-2,-2,-1,-1,-2,-2,4312,19869,19195,2648,0,2130,977,4745,4513,616,0,653,0
207,20000,2,2,3,22,0,1,-1,2,1,-2,5926,18073,8019,18666,7676,4886,1914,5145,2821,3242,1550,1433,0
208,120000,2,2,2,58,0,2,0,3,0,1,35931,14940,20195,54253,44860,35296,11747,2359,4743,6358,9991,4476,0
209,20000,2,2,1,32,1,0,0,1,-1,-1,13754,6592,3233,12965,6088,0,1923,1983,943,4758,1766,0,0
210,80000,2,1,2,56,3,3,2,3,2,1,28014,22846,20815,49376,46769,31951,5010,3909,3454,4773,8372,4112,1
211,120000,1,3,2,46,-1,0,-1,-2,-2,-2,12805,658,12189,36131,60710,34004,3071,192,5043,8604,24855,13746,0
212,120000,1,1,2,22,-1,-2,2,-1,-1,0,46189,27247,12223,1404,0,46371,18027,11616,3519,369,0,14567,0
